wvl (um), n, k
4.000000000000000222e-01 5.613000000000000433e+00 2.959999999999999853e-01
4.099999999999999756e-01 5.330000000000000071e+00 2.270000000000000073e-01
4.199999999999999845e-01 5.118999999999999773e+00 1.759999999999999898e-01
4.299999999999999933e-01 4.948999999999999844e+00 1.380000000000000115e-01
4.400000000000000022e-01 4.812000000000000277e+00 1.069999999999999979e-01
4.500000000000000111e-01 4.690999999999999837e+00 8.630200000000000371e-02
4.600000000000000200e-01 4.586999999999999744e+00 7.138100000000000001e-02
4.699999999999999734e-01 4.496999999999999886e+00 6.208600000000000230e-02
4.799999999999999822e-01 4.418999999999999595e+00 5.500399999999999734e-02
4.899999999999999911e-01 4.349999999999999645e+00 4.913100000000000106e-02
5.000000000000000000e-01 4.293999999999999595e+00 4.416500000000000287e-02
5.100000000000000089e-01 4.240999999999999659e+00 3.936699999999999922e-02
5.200000000000000178e-01 4.192999999999999616e+00 3.641500000000000292e-02
5.300000000000000266e-01 4.150999999999999801e+00 3.310799999999999854e-02
5.400000000000000355e-01 4.112000000000000099e+00 3.029499999999999901e-02
5.500000000000000444e-01 4.076999999999999957e+00 2.796799999999999981e-02
5.600000000000000533e-01 4.044999999999999929e+00 2.575799999999999965e-02
5.699999999999999512e-01 4.014999999999999680e+00 2.413099999999999967e-02
5.799999999999999600e-01 3.987999999999999989e+00 2.252399999999999888e-02
5.899999999999999689e-01 3.963000000000000078e+00 2.108099999999999904e-02
5.999999999999999778e-01 3.939999999999999947e+00 1.993400000000000033e-02
6.099999999999999867e-01 3.918000000000000149e+00 1.844600000000000059e-02
6.199999999999999956e-01 3.898000000000000131e+00 1.736700000000000049e-02
6.300000000000000044e-01 3.879000000000000004e+00 1.644400000000000028e-02
6.400000000000000133e-01 3.861000000000000210e+00 1.543199999999999954e-02
6.500000000000000222e-01 3.843999999999999861e+00 1.443099999999999938e-02
6.600000000000000311e-01 3.827999999999999847e+00 1.349799999999999958e-02
6.700000000000000400e-01 3.813000000000000167e+00 1.274300000000000085e-02
6.800000000000000488e-01 3.798000000000000043e+00 1.190500000000000065e-02
6.899999999999999467e-01 3.783999999999999808e+00 1.120099999999999915e-02
6.999999999999999556e-01 3.771999999999999797e+00 1.052799999999999916e-02
7.099999999999999645e-01 3.758999999999999897e+00 1.005699999999999997e-02
7.199999999999999734e-01 3.748000000000000220e+00 9.625699999999999187e-03
7.299999999999999822e-01 3.737000000000000099e+00 8.946100000000000232e-03
7.399999999999999911e-01 3.726999999999999869e+00 8.361999999999999642e-03
7.500000000000000000e-01 3.717000000000000082e+00 7.818500000000000796e-03
7.600000000000000089e-01 3.708000000000000185e+00 7.197000000000000272e-03
7.700000000000000178e-01 3.698999999999999844e+00 6.740200000000000011e-03
